DateTime,AddedIPs,RemovedIPs
1573606980,1,2
1573610579,0,1
1573614179,2,0
1573617779,1,3
1573621380,1,1
1573624979,3,3
1573628580,1,1
1573632179,2,3
1573635780,0,1
1573639380,0,2
1573642979,1,1
1573646581,1,1
1573657379,1,1
1573660980,1,0
1573664582,1,1
1573671782,1,1
1573675380,1,1
1573682580,2,2
1573686180,1,1
1573696981,1,3
1573700580,1,0
1573704180,1,2
1573707781,1,3
1573711381,0,2
1573714982,2,2
1573718580,1,0
1573725780,1,1
1573729381,2,1
1573732982,4,2
1573736580,3,1
1573740122,1,1
1573743721,0,1
1573747381,0,2
1573754581,0,1
1573758181,2,1
1573761782,1,1
1573765386,0,1
1573768981,1,0
1573772581,1,1
1573776181,2,1
1573779781,1,0
1573783382,1,1
1573794181,3,3
1573797782,1,0
1573804982,1,1
1573812183,1,1
1573815783,2,0
1573819382,1,0
1573822982,1,2
1573830184,1,1
1573833783,0,1
1573840982,1,1
1573844582,2,1
1573848182,1,0
1573851782,1,2
1573855383,1,1
1573858982,1,1
1573866182,0,1
1573869783,1,0
1573880583,3,3
1573887783,1,0
1573891383,1,1
1573894923,1,1
1573898583,1,0
1573902183,0,1
1573920183,2,1
1573923784,1,1
1573927383,1,2
1573930984,2,3
1573938184,1,1
1573941784,1,0
1573948985,1,1
1573952585,1,1
1573959785,2,1
1573966985,2,4
1573970585,0,1
1573974186,2,1
1573977786,1,1
1573984985,1,0
1573995786,0,2
1573999385,1,0
1574006586,1,2
1574010187,1,1
1574017385,1,1
1574020927,0,2
1574024587,20,1
1574028187,7,1
1574031787,2,2
1574042587,1,0
1574053386,3,2
1574060527,1,2
1574064186,3,3
1574067787,0,2
1574071386,5,2
1574089386,1,0
1574092986,0,1
1574096588,0,1
1574100187,2,1
1574103787,0,1
1574107387,1,2
1574110987,1,0
1574114587,3,0
1574118187,1,0
1574125387,2,3
1574136188,0,1
1574138408,2,2
1574139788,1,0
1574143389,2,1
1574146989,1,2
1574154190,1,1
1574157788,1,1
1574164989,2,2
1574168589,0,1
1574172189,2,2
1574179390,2,2
1574182990,1,4
1574186529,2,1
1574190129,1,2
1574197390,0,1
1574200930,1,0
1574208129,2,0
1574211730,0,1
1574215389,1,0
1574218990,1,1
1574226190,3,2
1574229790,3,1
1574233392,3,2
1574236989,0,1
1574240590,1,1
1574244190,1,0
1574254991,1,0
1574258591,1,1
1574265790,0,2
1574269391,2,1
1574272990,1,1
1574276591,1,1
1574280190,1,2
1574283790,1,0
1574287392,1,1
1574290991,1,0
1574294590,1,0
1574301791,0,1
1574305331,0,1
1574308991,2,3
1574312531,10,2
1574316192,1,0
1574319792,1,1
1574323392,1,2
1574334192,1,0
1574337791,1,1
1574341391,0,2
1574344992,1,0
1574348592,0,1
1574352131,1,2
1574355791,1,1
1574359393,2,2
1574362992,0,1
1574366592,4,0
1574370192,3,2
1574373733,1,1
1574377392,2,0
1574380993,0,1
1574388132,2,0
1574395392,2,3
1574398992,1,2
1574406192,2,2
1574413393,0,1
1574420595,6,1
1574424195,2,0
1574427795,1,1
1574431395,0,1
1574434995,1,1
1574442195,1,0
1574445735,2,1
1574449335,1,2
1574452995,1,2
1574456595,1,0
1574460195,1,2
1574463795,0,1
1574467395,1,0
1574470995,0,1
1574474595,0,1
1574485396,1,2
1574488935,0,1
1574492596,4,2
1574496136,1,2
1574503337,1,0
1574506938,2,2
1574510596,0,2
1574514196,0,2
1574517797,1,1
1574521396,2,1
1574524996,1,1
1574528598,8,1
1574532197,2,2
1574539336,0,1
1574542937,1,1
1574546596,2,2
1574550136,2,2
1574553796,1,4
1574557398,1,2
1574560998,1,0
1574564537,1,0
1574568196,1,1
1574571738,3,2
1574575337,0,1
1574578998,1,1
1574582598,1,4
1574586137,1,1
1574593397,2,0
1574600597,0,1
1574607797,1,0
1574611397,1,0
1574618597,2,4
1574625798,1,0
1574632998,2,0
1574636597,4,1
1574640199,3,0
1574643797,2,1
1574650999,0,1
1574654539,1,1
1574658198,3,3
1574661799,2,2
1574665398,2,1
1574669000,1,0
1574672598,2,0
1574676199,1,1
1574683399,1,0
1574694139,0,1
1574697799,0,2
1574701399,1,0
1574704999,0,2
1574712198,1,1
1574715739,1,0
1574722999,2,1
1574726539,3,1
1574733799,1,1
1574740999,2,2
1574744599,3,2
1574748199,1,5
1574751799,0,1
1574755339,0,1
1574758999,2,2
1574766199,1,2
1574780599,0,1
1574784199,1,0
1574787739,1,0
1574798600,2,0
1574802139,0,2
1574805740,5,0
1574809400,0,2
1574816540,1,0
1574831000,2,4
1574834600,0,1
1574838200,0,1
1574841740,2,2
1574845400,1,2
1574849000,1,0
1574856140,1,0
1574859801,0,1
1574863340,0,1
1574865020,1,1
1574870602,1,2
1574874140,1,1
1574881340,1,0
1574885002,2,0
1574888602,0,1
1574892142,1,1
1574899402,1,0
1574903001,1,1
1574906602,0,1
1574913742,2,1
1574917401,2,1
1574920942,1,1
1574924601,1,2
1574928142,1,2
1574931802,2,0
1574935403,1,1
1574939001,2,2
